Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1743882376.50526,-3.3327,3.8595,-7.197,-1.4431,0.2873,1.8773,3.6296,7.5274,-2.5857,1.4771,3.5077,-1.0248,57
1743882376.5345678,11.6885,4.8937,0.0383,-1.4686,5.2551,0.8833,3.6296,7.5274,-2.5857,1.4771,3.5077,-1.0248,57
1743882376.5358799,11.6885,4.8937,0.0383,-1.4686,5.2551,0.8833,1.4222,9.6151,-3.146,1.293,2.9405,-1.0738,57
1743882376.5934532,-1.2881,11.6358,1.2881,0.2639,1.1579,1.9773,1.4222,9.6151,-3.146,1.293,2.9405,-1.0738,57
1743882376.5960739,-1.2881,11.6358,1.2881,0.2639,1.1579,1.9773,0.8332,9.3996,-3.1603,1.2047,2.2296,-0.7907,57
1743882376.6542459,3.5482,7.5178,0.067,-1.0185,-5.1264,0.3182,0.8332,9.3996,-3.1603,1.2047,2.2296,-0.7907,57
1743882376.6558678,3.5482,7.5178,0.067,-1.0185,-5.1264,0.3182,0.9912,8.7293,-1.4365,0.6407,0.7024,-0.746,57
1743882376.714165,6.5457,3.5961,-2.3272,2.1593,2.0784,-0.4629,0.9912,8.7293,-1.4365,0.6407,0.7024,-0.746,57
1743882376.728406,6.5457,3.5961,-2.3272,2.1593,2.0784,-0.4629,0.8954,9.1411,-2.4565,0.7482,-0.0074,-0.4406,57
1743882376.7733839,0.4357,11.4491,-4.3862,2.3785,1.5538,1.2334,0.8954,9.1411,-2.4565,0.7482,-0.0074,-0.4406,57
1743882376.776355,0.4357,11.4491,-4.3862,2.3785,1.5538,1.2334,0.905,9.2608,-1.8579,0.0394,-0.5513,-0.3139,57
1743882376.848454,7.355,9.6534,-4.2665,1.4005,-0.9344,0.3076,0.905,9.2608,-1.8579,0.0394,-0.5513,-0.3139,57
1743882376.852739,7.355,9.6534,-4.2665,1.4005,-0.9344,0.3076,3.3232,8.1882,-0.9768,-0.0692,-0.2969,-0.1618,57
1743882376.879582,7.7093,11.564,-6.043,2.7159,0.0596,1.6815,3.3232,8.1882,-0.9768,-0.0692,-0.2969,-0.1618,57
1743882376.893225,7.7093,11.564,-6.043,2.7159,0.0596,1.6815,0.9385,9.0884,-0.3687,0.1192,0.0266,-0.166,57
1743882376.9382458,10.2663,9.8114,-7.6854,2.9511,2.3966,0.6045,0.9385,9.0884,-0.3687,0.1192,0.0266,-0.166,57
1743882376.9427252,10.2663,9.8114,-7.6854,2.9511,2.3966,0.6045,-0.4405,9.3757,-0.5411,-0.1873,-0.0309,0.0937,57
1743882376.999156,6.5697,13.9103,-5.8083,3.0682,4.2867,1.9443,-0.4405,9.3757,-0.5411,-0.1873,-0.0309,0.0937,57
1743882377.000305,6.5697,13.9103,-5.8083,3.0682,4.2867,1.9443,1.3455,7.4699,-0.8284,-0.0543,-0.1213,0.265,57
1743882377.04304,9.3805,12.1386,-12.3684,3.8802,3.0288,3.4321,1.3455,7.4699,-0.8284,-0.0543,-0.1213,0.265,57
1743882377.059144,9.3805,12.1386,-12.3684,3.8802,3.0288,3.4321,-0.0383,8.6526,-2.7198,0.2203,0.4342,0.116,57
1743882377.103308,-6.5314,10.7117,1.6568,3.3502,1.1238,3.8536,-0.0383,8.6526,-2.7198,0.2203,0.4342,0.116,57
1743882377.11884,-6.5314,10.7117,1.6568,3.3502,1.1238,3.8536,-8.0541,11.1235,-3.5913,-0.7801,-0.6492,0.9344,57
1743882377.1793852,-4.7453,21.1073,31.7567,1.4293,3.5098,1.375,-8.0541,11.1235,-3.5913,-0.7801,-0.6492,0.9344,57
1743882377.182506,-4.7453,21.1073,31.7567,1.4293,3.5098,1.375,-12.153,18.2247,-6.6798,-1.0217,-6.0554,2.1433,57
1743882377.239553,8.2648,71.5675,30.3872,-9.6291,15.1163,-15.1301,-12.153,18.2247,-6.6798,-1.0217,-6.0554,2.1433,57
1743882377.254198,8.2648,71.5675,30.3872,-9.6291,15.1163,-15.1301,-9.0405,8.4372,-37.1436,-2.42,-9.6664,3.8866,57
1743882377.329288,43.6319,113.4325,27.9739,-2.2625,13.2475,-23.8397,-9.0405,8.4372,-37.1436,-2.42,-9.6664,3.8866,57
1743882377.341901,43.6319,113.4325,27.9739,-2.2625,13.2475,-23.8397,21.0307,1.6616,-38.3934,-6.3705,-4.5389,1.9656,57
1743882377.344895,144.5858,-15.2367,14.279,5.2498,-0.6651,-7.423,21.0307,1.6616,-38.3934,-6.3705,-4.5389,1.9656,57
1743882377.358808,144.5858,-15.2367,14.279,5.2498,-0.6651,-7.423,15.0069,1.3503,18.5072,-6.4556,-2.2604,0.0883,57
1743882377.4041119,156.9016,156.9016,151.28,-14.2776,-34.8725,34.8715,15.0069,1.3503,18.5072,-6.4556,-2.2604,0.0883,57
1743882377.418747,156.9016,156.9016,151.28,-14.2776,-34.8725,34.8715,35.5587,-9.1937,-2.6911,-2.2051,-0.5279,-0.1756,57
1743882377.464416,-15.0883,87.7666,-5.4588,-11.1094,-8.5181,-1.8251,35.5587,-9.1937,-2.6911,-2.2051,-0.5279,-0.1756,57
1743882377.478833,-15.0883,87.7666,-5.4588,-11.1094,-8.5181,-1.8251,-16.702,3.4764,15.6677,-0.4906,-5.0572,0.2512,57
1743882377.539853,10.884,28.2659,2.988,-9.7866,-1.5346,-8.5149,-16.702,3.4764,15.6677,-0.4906,-5.0572,0.2512,57
1743882377.5521479,10.884,28.2659,2.988,-9.7866,-1.5346,-8.5149,3.2513,7.7476,-3.3375,0.0564,-4.5315,0.2277,57
1743882377.599766,30.0999,10.1658,35.6545,-4.8018,3.298,-6.0735,3.2513,7.7476,-3.3375,0.0564,-4.5315,0.2277,57
1743882377.6115358,30.0999,10.1658,35.6545,-4.8018,3.298,-6.0735,3.8738,11.1378,-3.9744,-0.5672,-2.6265,-0.1767,57
1743882377.6586618,-1.9345,-7.6184,-7.8051,-3.6663,-9.9164,0.1171,3.8738,11.1378,-3.9744,-0.5672,-2.6265,-0.1767,57
1743882377.674379,-1.9345,-7.6184,-7.8051,-3.6663,-9.9164,0.1171,3.802,7.8817,-2.0877,-0.8205,-1.0355,1.1228,57
1743882377.719436,10.7308,3.2082,-7.4699,-1.3122,-3.5268,-1.0344,3.802,7.8817,-2.0877,-0.8205,-1.0355,1.1228,57
1743882377.74769,10.7308,3.2082,-7.4699,-1.3122,-3.5268,-1.0344,1.494,9.1794,-4.3287,0.5225,0.0351,0.0617,57
1743882377.808154,5.5162,7.3071,-4.6304,4.6656,3.5492,-0.7035,1.494,9.1794,-4.3287,0.5225,0.0351,0.0617,57
1743882377.8097239,5.5162,7.3071,-4.6304,4.6656,3.5492,-0.7035,5.5976,5.6072,-0.6081,0.3852,0.1873,-0.0532,57
1743882377.883314,6.8522,6.0525,2.5618,5.8969,2.3147,0.0575,5.5976,5.6072,-0.6081,0.3852,0.1873,-0.0532,57
1743882377.884777,6.8522,6.0525,2.5618,5.8969,2.3147,0.0575,7.4029,7.2257,-6.4643,1.938,2.2817,0.1128,57
1743882377.8984199,3.4955,11.1282,7.8865,2.5605,3.0192,0.7982,7.4029,7.2257,-6.4643,1.938,2.2817,0.1128,57
1743882377.913384,3.4955,11.1282,7.8865,2.5605,3.0192,0.7982,1.154,9.6917,-1.4126,0.7833,2.2604,-0.0756,57
1743882377.959423,7.7524,7.5322,6.6319,3.6684,4.9306,0.0192,1.154,9.6917,-1.4126,0.7833,2.2604,-0.0756,57
1743882377.974251,7.7524,7.5322,6.6319,3.6684,4.9306,0.0192,7.3502,7.3741,-3.8786,0.6949,1.7922,-0.2075,57
1743882378.018594,15.3708,7.7955,-5.2912,5.3403,11.2223,2.5978,7.3502,7.3741,-3.8786,0.6949,1.7922,-0.2075,57
1743882378.034506,15.3708,7.7955,-5.2912,5.3403,11.2223,2.5978,4.5059,8.758,-3.1747,0.7928,2.0901,0.1075,57
1743882378.078697,-1.7573,17.9421,-2.1548,1.7379,5.484,1.8432,4.5059,8.758,-3.1747,0.7928,2.0901,0.1075,57
1743882378.093361,-1.7573,17.9421,-2.1548,1.7379,5.484,1.8432,5.3965,9.6343,-3.3232,0.6758,1.3803,-0.0819,57
1743882378.152183,9.5098,3.802,2.5522,-2.4818,-0.2246,7.8955,5.3965,9.6343,-3.3232,0.6758,1.3803,-0.0819,57
1743882378.1550999,9.5098,3.802,2.5522,-2.4818,-0.2246,7.8955,5.6599,7.4843,-1.4174,0.5459,0.961,-0.4587,57
1743882378.2126458,3.9504,13.3405,6.5218,0.9823,1.7719,3.9962,5.6599,7.4843,-1.4174,0.5459,0.961,-0.4587,57
1743882378.2156212,3.9504,13.3405,6.5218,0.9823,1.7719,3.9962,10.8266,8.2408,-9.1698,0.5449,2.3668,-0.6854,57
1743882378.273175,7.6231,8.3127,4.549,2.5999,1.5165,1.6421,10.8266,8.2408,-9.1698,0.5449,2.3668,-0.6854,57
1743882378.274871,7.6231,8.3127,4.549,2.5999,1.5165,1.6421,5.2864,10.1131,-4.6304,0.9397,1.6953,-0.4459,57
1743882378.331965,4.8076,8.4851,3.0981,3.4353,2.784,2.1763,5.2864,10.1131,-4.6304,0.9397,1.6953,-0.4459,57
1743882378.3486478,4.8076,8.4851,3.0981,3.4353,2.784,2.1763,6.2776,11.6933,-2.6671,1.4239,1.3888,0.1479,57
1743882378.378874,5.0901,5.454,4.889,3.1725,0.6843,2.4573,6.2776,11.6933,-2.6671,1.4239,1.3888,0.1479,57
1743882378.3938859,5.0901,5.454,4.889,3.1725,0.6843,2.4573,1.336,6.7804,5.8035,-0.0128,0.1916,-0.1298,57
1743882378.4541051,3.395,5.1475,5.205,5.3009,0.1469,0.2086,1.336,6.7804,5.8035,-0.0128,0.1916,-0.1298,57
1743882378.455271,3.395,5.1475,5.205,5.3009,0.1469,0.2086,7.7381,8.6479,-0.8619,0.464,0.3799,-0.3257,57
1743882378.4990668,2.9257,7.5274,1.968,4.9242,-2.8234,1.4154,7.7381,8.6479,-0.8619,0.464,0.3799,-0.3257,57
1743882378.513912,2.9257,7.5274,1.968,4.9242,-2.8234,1.4154,3.486,8.418,-0.2969,0.2426,0.9195,-0.4832,57
