Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1743007795.363754,2.4181,9.5241,6.3542,-1.5612,-0.6247,0.1128,3.5243,8.0206,-4.774,0.0724,-0.7833,0.1916,27
1743007795.3997152,4.4149,7.8338,5.2577,-3.1756,-1.7709,0.216,3.5243,8.0206,-4.774,0.0724,-0.7833,0.1916,27
1743007795.414847,4.4149,7.8338,5.2577,-3.1756,-1.7709,0.216,2.6624,7.082,-2.1356,0.1224,-1.0568,-0.0681,27
1743007795.4595048,5.5833,5.9376,5.8466,-4.6241,-3.0682,0.8471,2.6624,7.082,-2.1356,0.1224,-1.0568,-0.0681,27
1743007795.460639,5.5833,5.9376,5.8466,-4.6241,-3.0682,0.8471,2.715,8.9495,-3.3232,0.2416,-1.4218,-0.2139,27
1743007795.518592,10.1131,1.8435,5.4875,-4.1398,-2.7351,2.1827,2.715,8.9495,-3.3232,0.2416,-1.4218,-0.2139,27
1743007795.5216131,10.1131,1.8435,5.4875,-4.1398,-2.7351,2.1827,5.7844,9.6917,-3.8786,-0.0287,-0.8056,0.0585,27
1743007795.563877,12.0476,1.3647,4.3527,-3.2799,-1.69,3.0926,5.7844,9.6917,-3.8786,-0.0287,-0.8056,0.0585,27
1743007795.594836,12.0476,1.3647,4.3527,-3.2799,-1.69,3.0926,5.023,8.6383,-3.3279,-0.0958,0.3086,-0.4576,27
1743007795.6548579,11.5401,-3.0885,3.3088,-1.6623,0.564,2.9458,5.2146,9.7636,-5.1571,-0.0032,1.5261,-0.795,27
1743007795.685791,11.473,-6.2058,-0.3448,-0.5268,0.7588,3.3097,5.2146,9.7636,-5.1571,-0.0032,1.5261,-0.795,27
1743007795.688701,11.473,-6.2058,-0.3448,-0.5268,0.7588,3.3097,5.8227,8.6095,-4.7836,-0.2969,2.5126,-1.16,27
1743007795.744898,14.9063,-11.4874,-2.7198,3.1927,1.6346,4.3037,5.8227,8.6095,-4.7836,-0.2969,2.5126,-1.16,27
1743007795.7599292,14.9063,-11.4874,-2.7198,3.1927,1.6346,4.3037,5.5067,8.1307,-6.1962,0.2799,4.126,-1.5282,27
1743007795.804367,16.4338,-10.501,-0.9433,5.6,1.2036,4.6794,5.5067,8.1307,-6.1962,0.2799,4.126,-1.5282,27
1743007795.819641,16.4338,-10.501,-0.9433,5.6,1.2036,4.6794,-1.9297,8.4084,-10.5105,1.1717,3.3332,-1.425,27
1743007795.8650482,5.2002,34.7686,10.8314,5.6127,1.6123,5.4871,-1.9297,8.4084,-10.5105,1.1717,3.3332,-1.425,27
1743007795.879955,5.2002,34.7686,10.8314,5.6127,1.6123,5.4871,-1.901,11.3629,-6.11,1.69,3.3289,-0.5896,27
1743007795.940005,26.1878,-26.8055,-29.2619,5.1306,5.1125,4.2739,-1.901,11.3629,-6.11,1.69,3.3289,-0.5896,27
1743007795.943188,26.1878,-26.8055,-29.2619,5.1306,5.1125,4.2739,-1.9249,8.8873,-6.7325,0.3767,1.1334,-1.3995,27
1743007795.9852428,-68.9817,15.9693,30.5165,-1.9667,-4.7284,4.2963,-1.9249,8.8873,-6.7325,0.3767,1.1334,-1.3995,27
1743007795.999531,-68.9817,15.9693,30.5165,-1.9667,-4.7284,4.2963,0.1293,6.7325,-4.9033,0.5566,0.5342,-1.1675,27
1743007796.044589,13.69,-4.3144,1.8818,7.5102,-11.3212,-0.0766,0.1293,6.7325,-4.9033,0.5566,0.5342,-1.1675,27
1743007796.0598989,13.69,-4.3144,1.8818,7.5102,-11.3212,-0.0766,-0.5124,6.2968,-5.5593,0.1713,-0.2618,-0.5821,27
1743007796.104954,-7.1874,10.4148,7.8243,4.1143,-0.8769,-1.4889,-0.5124,6.2968,-5.5593,0.1713,-0.2618,-0.5821,27
1743007796.1198568,-7.1874,10.4148,7.8243,4.1143,-0.8769,-1.4889,-0.4501,9.1123,-8.8011,0.1277,-0.5821,0.2384,27
1743007796.1649091,4.118,15.9167,4.1468,0.0798,-2.8585,-2.403,-0.4501,9.1123,-8.8011,0.1277,-0.5821,0.2384,27
1743007796.179103,4.118,15.9167,4.1468,0.0798,-2.8585,-2.403,0.158,7.6088,-7.082,0.3257,-0.4704,0.05,27
1743007796.223903,1.81,9.7588,3.0598,0.3108,-0.0798,-1.8071,0.158,7.6088,-7.082,0.3257,-0.4704,0.05,27
