Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1747098828.758389,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.759927,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.761485,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.762866,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.764216,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.765551,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7668748,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7684102,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7700741,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.77164,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7731369,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.774687,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7761998,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7777438,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.779242,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.780864,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.782486,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.784109,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.785611,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.786866,0.2825,10.4483,3.0933,0.5438,2.7638,1.16,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.788128,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.789713,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.7912471,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.792823,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.794368,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.795933,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
1747098828.797467,-0.4788,9.7252,1.3743,-0.0883,2.4669,0.6215,-0.5507,-9.6438,-2.0782,-0.248,0.2384,0.4949,54
