Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1743115611.482523,-2.3176,8.4659,3.7924,0.1341,-0.5013,-0.2661,3.553,8.9591,-1.4748,-0.0734,-0.1809,0.0202,26
1743115611.506963,-2.0925,8.7293,3.5386,0.0553,-0.381,-0.2405,3.553,8.9591,-1.4748,-0.0734,-0.1809,0.0202,26
1743115611.537819,-2.0925,8.7293,3.5386,0.0553,-0.381,-0.2405,3.6009,9.2608,-1.81,0.0639,-0.1117,-0.0436,26
1743115611.58306,-2.2841,8.8107,3.6152,0.1203,-0.5406,-0.1681,3.6009,9.2608,-1.81,0.0639,-0.1117,-0.0436,26
1743115611.584505,-2.2841,8.8107,3.6152,0.1203,-0.5406,-0.1681,3.0933,9.6007,-2.1452,-0.0617,-0.083,0.0447,26
1743115611.6277812,-2.5331,8.8346,3.486,0.1032,-0.1437,-0.0128,3.0933,9.6007,-2.1452,-0.0617,-0.083,0.0447,26
1743115611.657336,-2.5331,8.8346,3.486,0.1032,-0.1437,-0.0128,3.122,9.1698,-1.7142,-0.1394,-0.1628,0.0766,26
1743115611.687579,-2.3655,8.576,3.5195,0.0362,-0.1245,-0.0085,3.122,9.1698,-1.7142,-0.1394,-0.1628,0.0766,26
1743115611.7183292,-2.3655,8.576,3.5195,0.0362,-0.1245,-0.0085,3.6057,9.1171,-1.4892,-0.1032,-0.1107,0.0426,26
1743115611.7480042,-2.3655,8.576,3.3806,-0.0138,-0.1969,0.0043,3.6057,9.1171,-1.4892,-0.1032,-0.1107,0.0426,26
1743115611.7624462,-2.3655,8.576,3.3806,-0.0138,-0.1969,0.0043,3.4237,9.2273,-1.7526,-0.0245,-0.0213,0.0,26
1743115611.808266,-2.308,8.3127,3.5099,0.1245,-0.132,0.0979,3.4237,9.2273,-1.7526,-0.0245,-0.0213,0.0,26
1743115611.8233228,-2.308,8.3127,3.5099,0.1245,-0.132,0.0979,3.3758,9.3326,-1.8531,-0.0468,-0.0138,0.0149,26
1743115611.882596,-2.1548,9.3326,3.4093,0.1809,0.0479,0.1756,3.3758,9.3326,-1.8531,-0.0468,-0.0138,0.0149,26
1743115611.885674,-2.1548,9.3326,3.4093,0.1809,0.0479,0.1756,3.3998,9.2464,-1.81,-0.0426,0.033,0.0319,26
1743115611.92693,-3.0215,8.8107,3.0837,0.3757,0.2288,0.1224,3.3998,9.2464,-1.81,-0.0426,0.033,0.0319,26
1743115611.9423811,-3.0215,8.8107,3.0837,0.3757,0.2288,0.1224,3.6488,9.1411,-1.5514,-0.0032,0.1086,0.0223,26
1743115612.002999,-2.1356,9.3613,3.146,0.2107,0.1767,0.0458,3.6488,9.1411,-1.5514,-0.0032,0.1086,0.0223,26
1743115612.004398,-2.1356,9.3613,3.146,0.2107,0.1767,0.0458,3.5386,9.0788,-1.719,0.0585,0.2033,0.0085,26
1743115612.062269,-2.1691,9.3757,2.873,0.1256,0.1266,-0.0021,3.5386,9.0788,-1.719,0.0585,0.2033,0.0085,26
1743115612.077311,-2.1691,9.3757,2.873,0.1256,0.1266,-0.0021,3.3375,9.323,-1.7813,0.0596,0.1639,0.0128,26
