Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1742692137.8879611,-0.723,4.9991,9.6438,0.5215,0.0873,-1.2292,-1.7957,9.979,-2.375,0.0851,-0.3874,0.1639,50
1742692137.889555,-0.7039,4.8123,10.5919,0.4715,0.1341,-1.1377,-1.7957,9.979,-2.375,0.0851,-0.3874,0.1639,50
1742692137.90358,-0.7039,4.8123,10.5919,0.4715,0.1341,-1.1377,-0.1101,9.5912,-2.2075,0.0915,-0.2937,0.3533,50
1742692137.9625092,0.4645,4.6639,10.2089,-0.0309,0.2054,-0.8226,-0.1101,9.5912,-2.2075,0.0915,-0.2937,0.3533,50
1742692137.9638348,0.4645,4.6639,10.2089,-0.0309,0.2054,-0.8226,-0.2442,10.2759,-2.1787,0.1107,-0.381,0.116,50
1742692138.022111,-0.4262,4.8315,9.3853,-0.4236,0.2767,-0.2341,-0.2442,10.2759,-2.1787,0.1107,-0.381,0.116,50
1742692138.026617,-0.4262,4.8315,9.3853,-0.4236,0.2767,-0.2341,-0.6416,9.5241,-2.4086,-0.0873,-0.4353,0.0298,50
1742692138.067608,0.4118,4.1851,9.2608,-0.6683,0.3257,0.3097,-0.6416,9.5241,-2.4086,-0.0873,-0.4353,0.0298,50
1742692138.128712,0.4118,4.1851,9.2608,-0.6683,0.3257,0.3097,-1.2594,9.4763,-1.9393,-0.0341,-0.4512,0.1054,50
1742692138.131687,-0.9768,3.3519,8.9591,-0.3544,0.8567,0.3267,-1.2594,9.4763,-1.9393,-0.0341,-0.4512,0.1054,50
1742692138.144533,-0.9768,3.3519,8.9591,-0.3544,0.8567,0.3267,-1.6089,9.4188,-1.8771,-0.0096,-0.8003,0.083,50
1742692138.203996,-0.747,2.5091,9.7396,-0.6375,0.4268,0.1309,-1.6089,9.4188,-1.8771,-0.0096,-0.8003,0.083,50
1742692138.205478,-0.747,2.5091,9.7396,-0.6375,0.4268,0.1309,-1.0678,9.6295,-1.8914,0.0788,-1.1132,0.0277,50
1742692138.2637131,-5.0039,3.0023,9.9024,-0.6119,0.348,-0.1958,-1.0678,9.6295,-1.8914,0.0788,-1.1132,0.0277,50
1742692138.266614,-5.0039,3.0023,9.9024,-0.6119,0.348,-0.1958,-0.2298,9.8306,-1.8196,0.1171,-1.1249,-0.1298,50
1742692138.323748,-2.1404,1.8483,9.4427,-0.4789,-0.0585,-0.3097,-0.2298,9.8306,-1.8196,0.1171,-1.1249,-0.1298,50
1742692138.32702,-2.1404,1.8483,9.4427,-0.4789,-0.0585,-0.3097,0.1101,9.7971,-1.9393,0.2011,-0.9131,-0.3033,50
1742692138.3831658,-2.375,1.4748,9.3374,-0.4917,-0.5044,-0.3139,0.1101,9.7971,-1.9393,0.2011,-0.9131,-0.3033,50
1742692138.39661,-2.375,1.4748,9.3374,-0.4917,-0.5044,-0.3139,-0.3735,9.3182,-1.4222,0.2171,-0.646,-0.1958,50
1742692138.428938,-1.5131,1.1396,9.1123,-0.5683,-1.1749,-0.0702,-0.3735,9.3182,-1.4222,0.2171,-0.646,-0.1958,50
1742692138.44356,-1.5131,1.1396,9.1123,-0.5683,-1.1749,-0.0702,-0.8906,9.5577,-0.9337,0.1022,-0.4363,0.0053,50
1742692138.4881642,-0.2873,1.0965,9.3182,-0.5726,-1.0195,0.3044,-0.8906,9.5577,-0.9337,0.1022,-0.4363,0.0053,50
1742692138.503895,-0.2873,1.0965,9.3182,-0.5726,-1.0195,0.3044,-0.9481,10.003,-1.3551,0.0447,-0.2352,0.1181,50
1742692138.54928,-0.6033,0.8045,10.094,-0.5353,-0.8237,0.464,-0.9481,10.003,-1.3551,0.0447,-0.2352,0.1181,50
1742692138.562994,-0.6033,0.8045,10.094,-0.5353,-0.8237,0.464,-1.2881,9.4236,-1.1636,-0.017,-0.0915,0.183,50
1742692138.608806,-0.7135,0.5842,10.5584,-0.5513,-0.9525,0.3874,-1.2881,9.4236,-1.1636,-0.017,-0.0915,0.183,50
1742692138.623856,-0.7135,0.5842,10.5584,-0.5513,-0.9525,0.3874,-0.1006,10.75,-1.7238,-0.0458,0.1043,0.1256,50
1742692138.667428,1.7573,0.8619,9.505,-0.4076,-1.0344,0.3948,-0.1006,10.75,-1.7238,-0.0458,0.1043,0.1256,50
1742692138.682917,1.7573,0.8619,9.505,-0.4076,-1.0344,0.3948,-1.336,9.414,-3.1891,-0.1501,-0.0245,-0.3225,50
1742692138.727574,1.3264,0.4357,8.6957,-0.5342,-0.7418,0.265,-1.336,9.414,-3.1891,-0.1501,-0.0245,-0.3225,50
1742692138.743864,1.3264,0.4357,8.6957,-0.5342,-0.7418,0.265,-0.7853,7.695,-1.1588,-0.3054,0.0883,-0.066,50
1742692138.787405,1.3455,-0.1628,8.4611,-0.4672,-0.9078,0.0575,-0.7853,7.695,-1.1588,-0.3054,0.0883,-0.066,50
1742692138.803691,1.3455,-0.1628,8.4611,-0.4672,-0.9078,0.0575,-1.2641,10.2232,-2.241,-0.049,0.0968,0.0575,50
1742692138.8478742,1.7861,0.4118,8.8969,-0.2618,-0.7865,0.2331,-1.2641,10.2232,-2.241,-0.049,0.0968,0.0575,50
1742692138.863497,1.7861,0.4118,8.8969,-0.2618,-0.7865,0.2331,-1.2258,9.7683,-2.0925,-0.2863,-0.3257,0.0639,50
1742692138.9084191,2.6959,0.4645,9.347,-0.1873,-0.9099,-0.0468,-1.2258,9.7683,-2.0925,-0.2863,-0.3257,0.0639,50
1742692138.938852,2.6959,0.4645,9.347,-0.1873,-0.9099,-0.0468,-0.1389,9.3518,-2.715,-0.2884,-0.2288,0.1309,50
1742692138.967409,3.5674,0.5363,9.0022,-0.1181,0.0074,-0.3022,-0.1389,9.3518,-2.715,-0.2884,-0.2288,0.1309,50
1742692138.982673,3.5674,0.5363,9.0022,-0.1181,0.0074,-0.3022,-0.9098,9.3805,-2.2553,-0.0702,-0.2182,0.0862,50
1742692139.027516,1.9537,0.5363,8.7819,-0.0053,0.281,-0.5502,-0.9098,9.3805,-2.2553,-0.0702,-0.2182,0.0862,50
1742692139.058269,1.9537,0.5363,8.7819,-0.0053,0.281,-0.5502,-0.9098,9.9072,-2.7916,0.0734,-0.3597,0.1852,50
1742692139.088405,2.6671,0.1867,8.3366,0.2703,0.1203,-0.8961,-0.9098,9.9072,-2.7916,0.0734,-0.3597,0.1852,50
1742692139.117493,2.6671,0.1867,8.3366,0.2703,0.1203,-0.8961,-0.3543,9.505,-2.6671,0.1394,-0.3863,0.3118,50
1742692139.147459,2.332,1.0918,7.829,0.5513,0.5577,-1.0536,-0.3543,9.505,-2.6671,0.1394,-0.3863,0.3118,50
1742692139.163615,2.332,1.0918,7.829,0.5513,0.5577,-1.0536,0.4549,9.3757,-2.6097,0.2543,-0.4385,0.265,50
1742692139.208305,2.0494,0.7183,7.6471,0.7375,0.8258,-1.3622,0.4549,9.3757,-2.6097,0.2543,-0.4385,0.265,50
1742692139.23758,2.0494,0.7183,7.6471,0.7375,0.8258,-1.3622,0.1772,9.5816,-2.8299,0.2639,-0.514,0.2586,50
1742692139.267367,1.6424,2.8635,8.1547,1.1877,0.7407,-1.525,0.1772,9.5816,-2.8299,0.2639,-0.514,0.2586,50
1742692139.283217,1.6424,2.8635,8.1547,1.1877,0.7407,-1.525,1.6185,9.7205,-2.9497,0.3193,-0.4055,0.2703,50
1742692139.342334,3.2801,5.4444,6.3686,1.673,1.4569,-1.6804,1.6185,9.7205,-2.9497,0.3193,-0.4055,0.2703,50
1742692139.345549,3.2801,5.4444,6.3686,1.673,1.4569,-1.6804,0.4836,9.6774,-2.6193,0.4172,-0.398,0.216,50
