Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1743008963.9074528,-1.81,5.8658,7.2257,-0.6407,0.3065,0.3108,0.5219,8.1355,-7.7907,0.1426,-0.4938,0.3544,35
1743008963.934468,-2.7198,6.1339,6.8283,-0.9642,0.7386,0.663,0.5219,8.1355,-7.7907,0.1426,-0.4938,0.3544,35
1743008963.964571,-2.7198,6.1339,6.8283,-0.9642,0.7386,0.663,0.5028,8.0828,-6.5888,-0.049,-0.4768,0.4204,35
1743008963.994605,-3.735,4.9081,6.0573,-0.6854,0.3884,0.6747,0.5028,8.0828,-6.5888,-0.049,-0.4768,0.4204,35
1743008964.008441,-3.735,4.9081,6.0573,-0.6854,0.3884,0.6747,1.992,7.671,-7.1156,-0.0777,-0.2192,0.3895,35
1743008964.054223,-2.873,6.1004,4.5538,0.1756,-0.1607,0.8684,1.992,7.671,-7.1156,-0.0777,-0.2192,0.3895,35
1743008964.069526,-2.873,6.1004,4.5538,0.1756,-0.1607,0.8684,1.7909,7.1778,-7.4651,0.182,-0.2182,0.2118,35
1743008964.129549,-3.0646,6.2249,3.8642,1.1728,-0.596,0.7386,1.7909,7.1778,-7.4651,0.182,-0.2182,0.2118,35
1743008964.130734,-3.0646,6.2249,3.8642,1.1728,-0.596,0.7386,0.7518,7.355,-7.5082,0.1415,0.0458,-0.0149,35
1743008964.173802,-2.4804,8.011,5.1763,1.6676,-1.0014,0.5257,0.7518,7.355,-7.5082,0.1415,0.0458,-0.0149,35
1743008964.189997,-2.4804,8.011,5.1763,1.6676,-1.0014,0.5257,0.5938,7.2975,-7.7093,-0.0202,0.1692,-0.0458,35
1743008964.248822,-1.1684,8.8059,5.5689,1.8454,-1.5069,0.4246,0.5938,7.2975,-7.7093,-0.0202,0.1692,-0.0458,35
1743008964.25166,-1.1684,8.8059,5.5689,1.8454,-1.5069,0.4246,0.5986,6.4452,-7.3598,0.2458,0.1309,-0.0383,35
1743008964.294522,-0.2059,9.1028,5.3295,1.7187,-1.4697,0.2128,0.5986,6.4452,-7.3598,0.2458,0.1309,-0.0383,35
1743008964.3099,-0.2059,9.1028,5.3295,1.7187,-1.4697,0.2128,0.905,6.0956,-8.193,0.4597,0.066,-0.2352,35
1743008964.369353,0.2873,10.6686,4.4005,1.6378,-0.7928,-0.016,0.905,6.0956,-8.193,0.4597,0.066,-0.2352,35
1743008964.3704991,0.2873,10.6686,4.4005,1.6378,-0.7928,-0.016,1.1205,6.766,-8.8155,0.3427,0.0521,-0.4033,35
1743008964.414669,-0.2538,11.8705,3.96,1.1153,-0.3267,-0.182,1.1205,6.766,-8.8155,0.3427,0.0521,-0.4033,35
1743008964.429635,-0.2538,11.8705,3.96,1.1153,-0.3267,-0.182,1.336,7.0342,-8.7724,0.1426,0.116,-0.2597,35
1743008964.474577,-1.336,11.2575,3.3998,0.6928,-0.3012,-0.5002,1.336,7.0342,-8.7724,0.1426,0.116,-0.2597,35
1743008964.489582,-1.336,11.2575,3.3998,0.6928,-0.3012,-0.5002,1.0391,6.5218,-8.1211,0.2426,0.0862,-0.0277,35
1743008964.533841,-0.814,9.7971,2.7581,0.1671,-0.0883,-0.7077,1.0391,6.5218,-8.1211,0.2426,0.0862,-0.0277,35
1743008964.549516,-0.814,9.7971,2.7581,0.1671,-0.0883,-0.7077,1.0726,6.3829,-8.1547,0.1192,-0.0479,-0.0117,35
1743008964.594739,-0.2777,9.5385,2.3463,-0.0479,0.3735,-0.7801,1.0726,6.3829,-8.1547,0.1192,-0.0479,-0.0117,35
1743008964.60943,-0.2777,9.5385,2.3463,-0.0479,0.3735,-0.7801,1.1636,6.6702,-8.2983,-0.2043,-0.0745,-0.1224,35
1743008964.6540868,-0.5171,10.5345,2.1452,-0.2128,0.3576,-0.6726,1.1636,6.6702,-8.2983,-0.2043,-0.0745,-0.1224,35
1743008964.699757,-0.5171,10.5345,2.1452,-0.2128,0.3576,-0.6726,0.8236,6.9671,-8.078,-0.3831,-0.0181,-0.2661,35
1743008964.7150059,-0.929,9.7444,2.1931,-0.1426,0.0394,-0.3406,0.8236,6.9671,-8.078,-0.3831,-0.0181,-0.2661,35
1743008964.728794,-0.929,9.7444,2.1931,-0.1426,0.0394,-0.3406,0.838,7.1012,-7.9487,-0.249,0.0138,-0.0628,35
1743008964.774027,-0.9912,8.4372,2.3703,0.0553,0.1405,0.0404,0.838,7.1012,-7.9487,-0.249,0.0138,-0.0628,35
1743008964.789886,-0.9912,8.4372,2.3703,0.0553,0.1405,0.0404,1.1636,8.0014,-7.5609,-0.3469,-0.067,-0.0543,35
1743008964.833271,-2.6001,9.3996,2.2697,-0.1809,0.1405,0.1607,1.1636,8.0014,-7.5609,-0.3469,-0.067,-0.0543,35
1743008964.8482602,-2.6001,9.3996,2.2697,-0.1809,0.1405,0.1607,0.723,7.7045,-7.1443,-0.5098,-0.216,0.1501,35
1743008964.893752,-2.5809,8.9495,2.7198,-0.2714,-0.0596,0.2639,0.723,7.7045,-7.1443,-0.5098,-0.216,0.1501,35
1743008964.908692,-2.5809,8.9495,2.7198,-0.2714,-0.0596,0.2639,0.8332,7.0581,-6.9623,-0.3618,-0.133,0.1852,35
1743008964.954669,-2.8395,8.3222,2.7821,-0.2863,-0.1469,0.1713,0.8332,7.0581,-6.9623,-0.3618,-0.133,0.1852,35
1743008964.9698439,-2.8395,8.3222,2.7821,-0.2863,-0.1469,0.1713,0.3926,7.5369,-6.7516,-0.0734,-0.1639,0.1926,35
1743008965.014167,-3.5626,8.7771,2.5857,-0.3374,-0.3555,-0.0213,0.3926,7.5369,-6.7516,-0.0734,-0.1639,0.1926,35
1743008965.029574,-3.5626,8.7771,2.5857,-0.3374,-0.3555,-0.0213,0.7661,7.5082,-7.197,-0.0958,-0.2863,0.2448,35
1743008965.07417,-1.7095,8.102,2.1644,-0.2022,-0.3161,-0.1767,0.7661,7.5082,-7.197,-0.0958,-0.2863,0.2448,35
1743008965.08865,-1.7095,8.102,2.1644,-0.2022,-0.3161,-0.1767,0.8475,7.6758,-7.1204,-0.0351,-0.3672,0.3469,35
1743008965.134558,-2.8347,8.9735,1.9585,0.1032,-0.6768,-0.2724,0.8475,7.6758,-7.1204,-0.0351,-0.3672,0.3469,35
1743008965.149719,-2.8347,8.9735,1.9585,0.1032,-0.6768,-0.2724,0.6943,7.4268,-7.1012,0.1596,-0.4033,0.4374,35
1743008965.194634,-1.585,9.5337,2.1548,0.3193,-1.0578,-0.3852,0.6943,7.4268,-7.1012,0.1596,-0.4033,0.4374,35
1743008965.2095659,-1.585,9.5337,2.1548,0.3193,-1.0578,-0.3852,1.0247,7.3119,-8.0254,0.3044,-0.415,0.4725,35
1743008965.25349,-1.2594,9.5002,2.4804,0.6726,-0.9195,-0.4182,1.0247,7.3119,-8.0254,0.3044,-0.415,0.4725,35
1743008965.268715,-1.2594,9.5002,2.4804,0.6726,-0.9195,-0.4182,1.2977,6.608,-8.0014,0.4033,-0.4097,0.4959,35
1743008965.314709,-0.8619,9.1746,2.3607,0.812,-0.7301,-0.3789,1.2977,6.608,-8.0014,0.4033,-0.4097,0.4959,35
