Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1743116728.209607,-0.0479,9.7013,0.0479,-0.0777,-0.3054,-0.0894,4.865,8.6095,-3.1939,-0.0607,-0.0415,0.0,27
1743116728.2126,-0.0479,9.7013,0.0479,-0.0777,-0.3054,-0.0894,4.8363,8.3845,-3.0694,-0.0958,-0.0011,-0.0192,27
1743116728.258657,-0.0431,9.7252,0.0383,-0.0021,-0.1905,-0.0639,4.8363,8.3845,-3.0694,-0.0958,-0.0011,-0.0192,27
1743116728.274156,-0.0431,9.7252,0.0383,-0.0021,-0.1905,-0.0639,4.798,8.3845,-2.8491,-0.0596,0.0053,-0.0298,27
1743116728.319021,-0.182,9.8306,-0.091,-0.0255,-0.1405,-0.0064,4.798,8.3845,-2.8491,-0.0596,0.0053,-0.0298,27
1743116728.334177,-0.182,9.8306,-0.091,-0.0255,-0.1405,-0.0064,4.7645,8.5473,-2.9066,-0.0064,-0.017,-0.0277,27
1743116728.378526,-0.0527,9.9647,-0.1676,-0.0553,-0.0468,0.0277,4.7645,8.5473,-2.9066,-0.0064,-0.017,-0.0277,27
1743116728.3948889,-0.0527,9.9647,-0.1676,-0.0553,-0.0468,0.0277,4.9129,8.5569,-3.0023,-0.0213,-0.0255,-0.0192,27
1743116728.437956,-0.3352,9.6965,-0.1149,-0.0468,0.0298,0.0585,4.9129,8.5569,-3.0023,-0.0213,-0.0255,-0.0192,27
1743116728.454148,-0.3352,9.6965,-0.1149,-0.0468,0.0298,0.0585,4.8171,8.442,-2.8587,-0.0287,0.0,-0.0128,27
1743116728.4987361,-0.158,9.7827,-0.1484,-0.0809,0.0532,0.0458,4.8171,8.442,-2.8587,-0.0287,0.0,-0.0128,27
1743116728.513071,-0.158,9.7827,-0.1484,-0.0809,0.0532,0.0458,4.8794,8.5042,-2.873,-0.0106,0.017,-0.0106,27
1743116728.558089,-0.0239,9.8737,0.0622,-0.1341,0.0521,0.0213,4.8794,8.5042,-2.873,-0.0106,0.017,-0.0106,27
1743116728.573072,-0.0239,9.8737,0.0622,-0.1341,0.0521,0.0213,4.8507,8.5425,-3.0023,-0.0085,0.0287,-0.0053,27
1743116728.6186502,-0.0144,9.9072,-0.0622,-0.1171,0.1203,0.0521,4.8507,8.5425,-3.0023,-0.0085,0.0287,-0.0053,27
1743116728.633961,-0.0144,9.9072,-0.0622,-0.1171,0.1203,0.0521,4.9416,8.4228,-2.8539,-0.0213,0.0255,-0.0074,27
1743116728.678102,-0.1149,9.8881,-0.0431,-0.1171,0.0479,0.0447,4.9416,8.4228,-2.8539,-0.0213,0.0255,-0.0074,27
