Timestamp,Acx0,Acy0,Acz0,Gyx0,Gyy0,Gyz0,Acx1,Acy1,Acz1,Gyx1,Gyy1,Gyz1,speed_mph
1743008712.099447,-2.5762,8.8585,3.3758,0.0117,-0.0766,0.0458,1.4653,7.4555,-7.3119,0.017,0.0202,-0.0521,40
1743008712.111659,-2.7007,8.9543,3.1556,0.1139,-0.0521,0.0309,1.4653,7.4555,-7.3119,0.017,0.0202,-0.0521,40
1743008712.12666,-2.7007,8.9543,3.1556,0.1139,-0.0521,0.0309,1.3599,7.4651,-7.2353,0.0639,-0.0149,-0.0149,40
1743008712.172448,-2.3894,9.0692,3.304,-0.0128,-0.0532,-0.0245,1.3599,7.4651,-7.2353,0.0639,-0.0149,-0.0149,40
1743008712.1752698,-2.3894,9.0692,3.304,-0.0128,-0.0532,-0.0245,1.403,7.4029,-7.355,0.0521,-0.0543,0.0245,40
1743008712.2332108,-2.49,8.8155,3.1556,-0.0915,-0.1522,-0.05,1.403,7.4029,-7.355,0.0521,-0.0543,0.0245,40
1743008712.236413,-2.49,8.8155,3.1556,-0.0915,-0.1522,-0.05,1.4653,7.3741,-7.2496,0.0553,-0.1043,0.049,40
1743008712.292403,-2.4325,8.983,3.055,-0.0064,-0.1405,-0.0096,1.4653,7.3741,-7.2496,0.0553,-0.1043,0.049,40
1743008712.295258,-2.4325,8.983,3.055,-0.0064,-0.1405,-0.0096,1.5802,7.3358,-7.4124,0.0372,-0.0713,0.0564,40
1743008712.352643,-2.2075,8.9639,3.2465,0.0309,0.05,0.016,1.5802,7.3358,-7.4124,0.0372,-0.0713,0.0564,40
1743008712.353811,-2.2075,8.9639,3.2465,0.0309,0.05,0.016,1.6185,7.3023,-7.4124,0.0266,-0.0564,0.0596,40
1743008712.412626,-2.3511,8.9256,3.304,-0.0043,0.0458,0.0043,1.6185,7.3023,-7.4124,0.0266,-0.0564,0.0596,40
1743008712.415464,-2.3511,8.9256,3.304,-0.0043,0.0458,0.0043,1.6424,7.2113,-7.4124,0.0255,-0.0479,0.0628,40
1743008712.457719,-2.2266,9.007,3.2944,-0.1,-0.0968,-0.0255,1.6424,7.2113,-7.4124,0.0255,-0.0479,0.0628,40
1743008712.473099,-2.2266,9.007,3.2944,-0.1,-0.0968,-0.0255,1.6233,7.1204,-7.5561,0.0681,-0.0766,0.0681,40
1743008712.5317461,-2.1356,8.916,3.3615,-0.0734,-0.0777,-0.0096,1.6233,7.1204,-7.5561,0.0681,-0.0766,0.0681,40
1743008712.5347588,-2.1356,8.916,3.3615,-0.0734,-0.0777,-0.0096,1.652,7.2065,-7.604,0.0234,-0.0415,0.0458,40
1743008712.592866,-2.1739,8.8202,3.2848,0.0021,-0.0947,-0.0032,1.652,7.2065,-7.604,0.0234,-0.0415,0.0458,40
1743008712.5942101,-2.1739,8.8202,3.2848,0.0021,-0.0947,-0.0032,1.6807,7.264,-7.3694,-0.0298,0.0266,0.0287,40
1743008712.6527581,-2.0303,8.825,3.6105,0.0192,-0.0564,0.0117,1.6807,7.264,-7.3694,-0.0298,0.0266,0.0287,40
1743008712.653939,-2.0303,8.825,3.6105,0.0192,-0.0564,0.0117,1.834,7.2736,-7.5753,-0.0277,0.0096,0.0223,40
1743008712.7130141,-2.2553,9.0405,3.6152,-0.016,-0.0426,0.0234,1.834,7.2736,-7.5753,-0.0277,0.0096,0.0223,40
1743008712.728062,-2.2553,9.0405,3.6152,-0.016,-0.0426,0.0234,1.7765,7.1778,-7.6136,-0.0341,-0.0053,-0.0011,40
1743008712.787474,-2.1021,8.9064,3.5099,-0.0681,-0.0213,-0.0074,1.7765,7.1778,-7.6136,-0.0341,-0.0053,-0.0011,40
1743008712.8031511,-2.1021,8.9064,3.5099,-0.0681,-0.0213,-0.0074,1.5993,7.1491,-7.5753,-0.0128,0.0011,-0.033,40
1743008712.8320482,-2.1883,8.8633,3.3758,-0.05,0.0426,-0.0064,1.5993,7.1491,-7.5753,-0.0128,0.0011,-0.033,40
1743008712.84704,-2.1883,8.8633,3.3758,-0.05,0.0426,-0.0064,1.2929,7.1778,-7.4986,-0.0958,0.0021,-0.0309,40
1743008712.907687,-2.2218,8.9926,3.1891,-0.0298,0.0468,0.0074,1.2929,7.1778,-7.4986,-0.0958,0.0021,-0.0309,40
1743008712.9089642,-2.2218,8.9926,3.1891,-0.0298,0.0468,0.0074,1.2737,7.7859,-7.4795,-0.331,0.0298,-0.0692,40
1743008712.9526641,-2.6145,9.0692,2.8826,-0.0734,-0.0181,-0.0298,1.2737,7.7859,-7.4795,-0.331,0.0298,-0.0692,40
1743008712.9553761,-2.6145,9.0692,2.8826,-0.0734,-0.0181,-0.0298,1.5275,7.9631,-6.5888,-0.2873,0.0777,-0.0511,40
1743008713.0138612,-2.9544,9.165,2.6336,-0.0543,-0.2171,-0.0319,1.5275,7.9631,-6.5888,-0.2873,0.0777,-0.0511,40
1743008713.0153532,-2.9544,9.165,2.6336,-0.0543,-0.2171,-0.0319,1.2929,7.9871,-6.6272,-0.2054,0.0106,0.0053,40
1743008713.073167,-3.2322,8.7436,2.5809,-0.1469,-0.4778,-0.1415,1.2929,7.9871,-6.6272,-0.2054,0.0106,0.0053,40
1743008713.076364,-3.2322,8.7436,2.5809,-0.1469,-0.4778,-0.1415,0.9864,7.9966,-6.6224,-0.1266,-0.166,0.133,40
1743008713.133194,-2.6624,8.576,2.1835,-0.0798,-0.8642,-0.1554,0.9864,7.9966,-6.6224,-0.1266,-0.166,0.133,40
1743008713.1360798,-2.6624,8.576,2.1835,-0.0798,-0.8642,-0.1554,1.2258,7.8769,-6.3638,-0.149,-0.3246,0.3193,40
1743008713.192731,-1.9537,8.6479,2.715,0.0106,-1.1025,0.0319,1.2258,7.8769,-6.3638,-0.149,-0.3246,0.3193,40
1743008713.1938822,-1.9537,8.6479,2.715,0.0106,-1.1025,0.0319,1.494,7.7716,-6.5697,-0.0681,-0.4097,0.4331,40
1743008713.251997,-1.0965,8.4467,2.7485,0.1405,-1.3686,0.2043,1.494,7.7716,-6.5697,-0.0681,-0.4097,0.4331,40
1743008713.267008,-1.0965,8.4467,2.7485,0.1405,-1.3686,0.2043,1.3743,7.1778,-6.6846,0.0351,-0.5662,0.5268,40
1743008713.312622,-0.8045,7.7045,3.055,0.1937,-1.3462,0.4502,1.3743,7.1778,-6.6846,0.0351,-0.5662,0.5268,40
1743008713.313787,-0.8045,7.7045,3.055,0.1937,-1.3462,0.4502,1.7765,5.6407,-7.6375,0.2405,-0.8109,0.3927,40
1743008713.3878021,0.8236,8.4372,2.8395,0.2235,-1.5101,-0.1139,1.7765,5.6407,-7.6375,0.2405,-0.8109,0.3927,40
1743008713.389312,0.8236,8.4372,2.8395,0.2235,-1.5101,-0.1139,2.7677,7.2449,-8.6095,0.1671,-0.6066,0.165,40
1743008713.445963,1.4461,10.6015,2.7485,0.6407,-1.6506,-0.0053,2.7677,7.2449,-8.6095,0.1671,-0.6066,0.165,40
